entity_id,region,confidence,rationale,source_id,review_status
ENT_ASCALAPHUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ASCLEPIUS,Epidaurus,B,Promoted from v0.1 places table: healing sanctuary.,SRC_THEOI_DEIFIED,seed_pending
ENT_ASCLEPIUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ASCLEPIUS_HERO,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ASIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ASOPUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ASTERIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ASTRAEUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AT,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ATALANTA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ATHENA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ATLAS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ATTIS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AURAE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AXIUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_BELLEROPHON,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_BENDIS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_BEROE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_BIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_BRIMO,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_CABEIRI,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_CADMUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
